Номер точки	X_WGS84	Y_WGS84	X_UTM36N	Y_UTM36N
PerimKL1	34.996648006629	54.908735006261	628003.616	6086460.876
PerimKL2	34.998181995612	54.908118006125	628103.905	6086395.038
PerimKl3	34.999622516123	54.907539206412	628198.084	6086333.281
PerimKL4	35.000482004611	54.907193006128	628254.28	6086296.339
PerimKL5	34.996424996489	54.908550004681	627989.908	6086439.886
PerimKL6	34.997959000197	54.907934004787	628090.195	6086374.159
PerimKl7	34.999395614013	54.907351676608	628184.135	6086312.002
PerimKL8	35.000259003578	54.907009000048	628240.57	6086275.459
