Номер точки	X_WGS84	Y_WGS84	X_UTM36N	Y_UTM36N	Высота, м
r130	34.99627179	54.90917092	627978.117	6086508.685	174.681
r131	34.9964784	54.90910661	627991.565	6086501.909	174.493
r132	34.9966809	54.90904167	628004.751	6086495.054	174.516
r133	34.99688874	54.90897579	628018.283	6086488.105	174.254
r134	34.9967748	54.90885432	628011.365	6086474.382	173.692
r135	34.99657139	54.9089171	627998.127	6086480.995	173.927
r136	34.9963668	54.90898847	627984.786	6086488.561	173.984
r137	34.99615853	54.90904909	627971.244	6086494.924	174.04
r138	34.99595734	54.90911535	627958.137	6086501.928	174.282
r139	34.9957485	54.90917674	627944.556	6086508.376	174.461
r140	34.9955471	54.90924683	627931.424	6086515.806	174.533
r141	34.9953437	54.90931267	627918.177	6086522.759	174.47
r142	34.99514613	54.90937761	627905.307	6086529.623	174.478
r143	34.99493922	54.90944551	627891.829	6086536.799	174.519
r144	34.99472634	54.90950556	627877.993	6086543.091	174.495
r145	34.99452933	54.90957335	627865.15	6086550.274	174.4
r146	34.9943186	54.90963683	627851.441	6086556.951	174.411
r147	34.99411548	54.90970514	627838.205	6086564.18	174.363
r148	34.9939127	54.90976859	627825.006	6086570.869	174.376
r149	34.99371145	54.90979378	627812.026	6086573.304	174.28
r150	34.99350499	54.90989764	627798.463	6086584.482	174.401
r151	34.99329642	54.90996211	627784.89	6086591.274	174.102
r152	34.99308737	54.91003003	627771.275	6086598.448	174.091
